Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,Element,Value
Bangladesh,BGD,1961,2.29041,0.714527,1.411303,0.159447,0.005133,0.0,0.0,0.044146,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1961,2.29041,0.714527,1.411303,0.159447,0.005133,0.0,0.0,0.044146,Temperature change,0.0143529411764705
Bangladesh,BGD,1962,2.516756,0.763224,1.550552,0.197201,0.00578,0.0,0.0,0.047076,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1962,2.516756,0.763224,1.550552,0.197201,0.00578,0.0,0.0,0.047076,Temperature change,-0.167235294117647
Bangladesh,BGD,1963,2.893242,0.815158,1.827504,0.244439,0.006141,0.0,0.0,0.052515,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1963,2.893242,0.815158,1.827504,0.244439,0.006141,0.0,0.0,0.052515,Temperature change,-0.0588235294117647
Bangladesh,BGD,1964,2.974612,0.800006,1.859442,0.308811,0.006354,0.0,0.0,0.052393,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1964,2.974612,0.800006,1.859442,0.308811,0.006354,0.0,0.0,0.052393,Temperature change,0.11
Bangladesh,BGD,1965,3.121306,0.753231,1.997256,0.363834,0.006986,0.0,0.0,0.053356,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1965,3.121306,0.753231,1.997256,0.363834,0.006986,0.0,0.0,0.053356,Temperature change,-0.1984705882352941
Bangladesh,BGD,1966,3.176314,0.643555,2.118771,0.406513,0.007475,0.0,0.0,0.052706,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1966,3.176314,0.643555,2.118771,0.406513,0.007475,0.0,0.0,0.052706,Temperature change,0.2802941176470588
Bangladesh,BGD,1967,3.371142,0.633229,2.254707,0.474942,0.008265,0.0,0.0,0.054282,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1967,3.371142,0.633229,2.254707,0.474942,0.008265,0.0,0.0,0.054282,Temperature change,-0.1991176470588235
Bangladesh,BGD,1968,3.865666,0.682321,2.644071,0.529464,0.00981,0.0,0.0,0.060405,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1968,3.865666,0.682321,2.644071,0.529464,0.00981,0.0,0.0,0.060405,Temperature change,-0.256235294117647
Bangladesh,BGD,1969,3.749327,0.649588,2.415465,0.673141,0.011133,0.0,0.0,0.056923,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1969,3.749327,0.649588,2.415465,0.673141,0.011133,0.0,0.0,0.056923,Temperature change,-0.000235294117647
Bangladesh,BGD,1970,3.803195,0.615142,2.617301,0.559869,0.010884,0.0,0.0,0.056309,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1970,3.803195,0.615142,2.617301,0.559869,0.010884,0.0,0.0,0.056309,Temperature change,-0.0431764705882352
Bangladesh,BGD,1971,3.605832,0.551603,2.446895,0.596046,0.011288,0.0,0.0,0.052735,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1971,3.605832,0.551603,2.446895,0.596046,0.011288,0.0,0.0,0.052735,Temperature change,-0.5507647058823529
Bangladesh,BGD,1972,3.505921,0.355408,2.425568,0.71448,0.010465,0.0,0.0,0.050556,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1972,3.505921,0.355408,2.425568,0.71448,0.010465,0.0,0.0,0.050556,Temperature change,-0.0035882352941176
Bangladesh,BGD,1973,4.549694,0.461664,2.9312,1.143168,0.013662,0.0,0.0,0.06395,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1973,4.549694,0.461664,2.9312,1.143168,0.013662,0.0,0.0,0.06395,Temperature change,0.1228235294117647
Bangladesh,BGD,1974,4.653084,0.410691,2.819835,1.382416,0.040143,0.0,0.0,0.063786,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1974,4.653084,0.410691,2.819835,1.382416,0.040143,0.0,0.0,0.063786,Temperature change,-0.1550588235294117
Bangladesh,BGD,1975,4.856723,0.472656,3.345232,0.963632,0.075203,0.0,0.0,0.065016,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1975,4.856723,0.472656,3.345232,0.963632,0.075203,0.0,0.0,0.065016,Temperature change,-0.0999411764705882
Bangladesh,BGD,1976,5.555798,0.447302,3.62975,1.411569,0.067176,0.0,0.0,0.072739,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1976,5.555798,0.447302,3.62975,1.411569,0.067176,0.0,0.0,0.072739,Temperature change,-0.0756470588235294
Bangladesh,BGD,1977,5.784754,0.501968,3.5724,1.579184,0.131202,0.0,0.0,0.074033,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1977,5.784754,0.501968,3.5724,1.579184,0.131202,0.0,0.0,0.074033,Temperature change,-0.2498235294117647
Bangladesh,BGD,1978,5.984423,0.42136,3.748272,1.674448,0.140343,0.0,0.0,0.074798,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1978,5.984423,0.42136,3.748272,1.674448,0.140343,0.0,0.0,0.074798,Temperature change,-0.1918235294117647
Bangladesh,BGD,1979,6.612648,0.359072,4.206272,1.916272,0.131032,0.0,0.0,0.080732,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1979,6.612648,0.359072,4.206272,1.916272,0.131032,0.0,0.0,0.080732,Temperature change,0.4983529411764705
Bangladesh,BGD,1980,7.597219,0.446794,4.801199,2.215656,0.13357,0.0,0.0,0.090519,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1980,7.597219,0.446794,4.801199,2.215656,0.13357,0.0,0.0,0.090519,Temperature change,0.1419411764705882
Bangladesh,BGD,1981,7.886136,0.465328,4.847472,2.440224,0.133112,0.0,0.0,0.091534,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1981,7.886136,0.465328,4.847472,2.440224,0.133112,0.0,0.0,0.091534,Temperature change,-0.2295294117647058
Bangladesh,BGD,1982,8.552288,0.567678,4.698908,3.164347,0.121355,0.0,0.0,0.096576,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1982,8.552288,0.567678,4.698908,3.164347,0.121355,0.0,0.0,0.096576,Temperature change,-0.0611176470588235
Bangladesh,BGD,1983,8.188282,0.304112,4.25024,3.521104,0.112826,0.0,0.0,0.089936,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1983,8.188282,0.304112,4.25024,3.521104,0.112826,0.0,0.0,0.089936,Temperature change,-0.132235294117647
Bangladesh,BGD,1984,9.07716,0.117248,4.3968,4.466416,0.096696,0.0,0.0,0.097046,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1984,9.07716,0.117248,4.3968,4.466416,0.096696,0.0,0.0,0.097046,Temperature change,-0.2765294117647058
Bangladesh,BGD,1985,10.189161,0.186797,4.834748,5.08381,0.083806,0.0,0.0,0.106182,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1985,10.189161,0.186797,4.834748,5.08381,0.083806,0.0,0.0,0.106182,Temperature change,0.0838823529411764
Bangladesh,BGD,1986,11.405807,0.282128,5.290816,5.73416,0.098703,0.0,0.0,0.116064,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1986,11.405807,0.282128,5.290816,5.73416,0.098703,0.0,0.0,0.116064,Temperature change,0.0290588235294117
Bangladesh,BGD,1987,11.799727,0.443344,5.327456,5.928352,0.100575,0.0,0.0,0.117422,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1987,11.799727,0.443344,5.327456,5.928352,0.100575,0.0,0.0,0.117422,Temperature change,0.3453529411764706
Bangladesh,BGD,1988,13.478441,0.381056,6.001632,6.99824,0.097513,0.0,0.0,0.131255,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1988,13.478441,0.381056,6.001632,6.99824,0.097513,0.0,0.0,0.131255,Temperature change,0.3727058823529412
Bangladesh,BGD,1989,13.382363,0.102592,5.767136,7.415936,0.096699,0.0,0.0,0.12758,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1989,13.382363,0.102592,5.767136,7.415936,0.096699,0.0,0.0,0.12758,Temperature change,-0.0543529411764705
Bangladesh,BGD,1990,14.081596,1.069611,5.337065,7.57519,0.099731,0.0,0.0,0.131422,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1990,14.081596,1.069611,5.337065,7.57519,0.099731,0.0,0.0,0.131422,Temperature change,-0.0921176470588235
Bangladesh,BGD,1991,14.741983,0.340752,5.265168,9.057408,0.078655,0.0,0.0,0.134947,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1991,14.741983,0.340752,5.265168,9.057408,0.078655,0.0,0.0,0.134947,Temperature change,-0.0747647058823529
Bangladesh,BGD,1992,15.379904,0.322432,5.375088,9.607008,0.075376,0.0,0.0,0.138219,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1992,15.379904,0.322432,5.375088,9.607008,0.075376,0.0,0.0,0.138219,Temperature change,-0.1630588235294117
Bangladesh,BGD,1993,16.062897,0.120912,5.47768,10.391104,0.073201,0.0,0.0,0.141625,Standard Deviation,0.5285294117647058
Bangladesh,BGD,1993,16.062897,0.120912,5.47768,10.391104,0.073201,0.0,0.0,0.141625,Temperature change,-0.3635294117647059
Bangladesh,BGD,1994,17.538015,0.098949,5.892939,11.474373,0.071755,0.0,0.0,0.151693,Standard Deviation,0.5285294117647058
